x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.14972243960653847,-0.040692850616806144,0.0,0.0,0.0,0.8045836097823047,0.5938393847410899,0.0,0.0,1.8699479030760586
0.14843365523672353,-0.030739473476261023,0.0,0.0,0.0,0.7858381498958911,0.6184322130744833,0.0,0.0,1.8081004884292473
0.15075601620833182,-0.020998646605060158,0.0,0.0,0.0,0.7775861101050878,0.6287764637545193,0.0,0.0,1.7816352479888766
0.15730124113737454,-0.013485458588273817,0.0,0.0,0.0,0.7997453630583699,0.6003393659145102,0.0,0.0,1.8537418861845942
0.1667939334408456,-0.0105446838586699,0.0,0.0,0.0,0.8418931989082523,0.5396441805783047,0.0,0.0,2.0015638333348664
0.1762493470010338,-0.013626256652715992,0.0,0.0,0.0,0.8731433459666544,0.4874635344250431,0.0,0.0,2.1232278386141474
0.18450254364644678,-0.01941503379344069,0.0,0.0,0.0,0.8962885717030434,0.4434713026053866,0.0,0.0,2.222656746483878
0.1833738705544376,-0.018705512540803878,0.0,0.0,0.0,0.9027352918243207,0.430196458487118,0.0,0.0,2.2521718706886946
0.1751052983433372,-0.01294755324911951,0.0,0.0,0.0,0.8810649284794201,0.4729953401499367,0.0,0.0,2.156217914957092
0.1697447966402118,-0.004566630139043945,0.0,0.0,0.0,0.8674216530486831,0.49757378932404595,0.0,0.0,2.099993679129811
0.16935637138984005,0.005425131690974794,0.0,0.0,0.0,0.8740931922408104,0.4857582642408359,0.0,0.0,2.1271317625659925
0.17267587066921777,0.014901349086817412,0.0,0.0,0.0,0.8937588997696962,0.4485476887494372,0.0,0.0,2.2113131980776783
0.1787176880545414,0.022926983804703413,0.0,0.0,0.0,0.914256618655769,0.4051355763742796,0.0,0.0,2.307338419336287
0.18702300110357178,0.02854288972270169,0.0,0.0,0.0,0.9268439308673616,0.375446837534074,0.0,0.0,2.371834985585433
0.19688997204703979,0.029892679239388455,0.0,0.0,0.0,0.9287398110600514,0.3707321989686625,0.0,0.0,2.381998102050986
0.2059783218729721,0.025809400709666887,0.0,0.0,0.0,0.9302847243530654,0.36683829085216985,0.0,0.0,2.3903764797382094
0.20941185978860422,0.023570747188425306,0.0,0.0,0.0,0.923292108904922,0.38409853115301257,0.0,0.0,2.35313013281622
0.20129103999856324,0.02950809885714894,0.0,0.0,0.0,0.9137281292955372,0.4063261076205641,0.0,0.0,2.304733296773222
0.19700146192662338,0.03846549196934112,0.0,0.0,0.0,0.9191543699918473,0.39389750459337813,0.0,0.0,2.331856503078924
0.19786658622445696,0.0484317430530536,0.0,0.0,0.0,0.9247918944451852,0.38047332622469815,0.0,0.0,2.360976529997229
0.20230164129585052,0.05743965950435786,0.0,0.0,0.0,0.9280400239636724,0.3724804879742112,0.0,0.0,2.378231821405494
0.2092676212025535,0.06467968368672652,0.0,0.0,0.0,0.927825273465867,0.3730150960993257,0.0,0.0,2.377079565126835
0.21805523876742441,0.06954940081506407,0.0,0.0,0.0,0.9242132594487665,0.38187674851853304,0.0,0.0,2.3579404713440146
0.2279031734833245,0.07150777450465604,0.0,0.0,0.0,0.9179140450487708,0.39677929117105293,0.0,0.0,2.3255817575326634
0.23781853293169858,0.07001753284598665,0.0,0.0,0.0,0.9097532518040221,0.41514939579867804,0.0,0.0,2.2853786284767152
0.24310968125427074,0.06272641884735972,0.0,0.0,0.0,0.8846830418012006,0.4661930024671918,0.0,0.0,2.1716273712253638
0.24322518937004473,0.06504370930546871,0.0,0.0,0.0,0.7040265494203373,0.7101736532083498,0.0,0.0,1.5621029818738923
0.24841088041375187,0.07231199613107035,0.0,0.0,0.0,0.692557835587124,0.7213623530285442,0.0,0.0,1.5300577705080327
0.2579323185971725,0.07545891901441486,0.0,0.0,0.0,0.6810000876330793,0.7322833335832096,0.0,0.0,1.4982549604462025
0.26796390863075104,0.07513396810729764,0.0,0.0,0.0,0.6662411690455035,0.745736350642022,0.0,0.0,1.4583138737990546
